Timestamp,Gender,Age,Occupation,Salary,Mobile_Operating_System,Game_Use,SocialMedia_Use,Entertainment_Use,Camera_Use,NewPhone_Brand,BrandChoice_Reason
8/17/2024 15:04:25,หญิง,21-25 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Iphone,เคยชินกับระบบของios
8/17/2024 15:04:33,ชาย,26-30 ปี,เอกชน,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,ใช้กับอุปกรณ์ต่างๆของ ios ได้ง่าย
8/17/2024 15:04:45,หญิง,26-30 ปี,รัฐวิสาหกิจ,"20,001-30,000 บาท",IOS,ค่อนข้างน้อย,บ่อยที่สุด,ปานกลาง,บ่อยครั้ง,Iphone,ระบบเสถียร ปลอดภัย และทน
8/17/2024 15:04:49,หญิง,26-30 ปี,รัฐวิสาหกิจ,"30,001-40,000 บาท",IOS,น้อยที่สุด,บ่อยครั้ง,บ่อยที่สุด,ค่อนข้างน้อย,Iphone,ระบบมีความปลอดภัย design ทันสมัย
8/17/2024 15:04:55,หญิง,31-35 ปี,เอกชน,"50,001-60,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,ยังไม่รู้,ยังคิดไม่ออก
8/17/2024 15:05:14,หญิง,31-35 ปี,เอกชน,"40,001-50,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,บ่อยครั้ง,ปานกลาง,Iphone,ใช้ได้นาน ไม่ต้องเปลี่ยนเครื่องบ่อย
8/17/2024 15:05:18,ชาย,26-30 ปี,เอกชน,"50,001-60,000 บาท",IOS,บ่อยครั้ง,บ่อยที่สุด,บ่อยครั้ง,บ่อยครั้ง,Iphone,Stable Operating System
8/17/2024 15:05:20,ชาย,26-30 ปี,ข้าราชการ,"น้อยกว่า 20,000 บาท",IOS,บ่อยครั้ง,บ่อยครั้ง,ปานกลาง,ค่อนข้างน้อย,Iphone,Design
8/17/2024 15:05:40,ชาย,26-30 ปี,เอกชน,"20,001-30,000 บาท",IOS,น้อยที่สุด,บ่อยที่สุด,บ่อยที่สุด,ปานกลาง,Iphone,ความเสถียรของระบบ
8/17/2024 15:07:05,ชาย,31-35 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",IOS,ปานกลาง,ปานกลาง,ค่อนข้างน้อย,ค่อนข้างน้อย,Nokia,ย้อนวัย
8/17/2024 15:07:39,หญิง,26-30 ปี,เอกชน,"30,001-40,000 บาท",Android,ปานกลาง,บ่อยที่สุด,ค่อนข้างน้อย,บ่อยครั้ง,Google,เป็นแบรนด์ที่น่าสนใจ
8/17/2024 15:08:53,ชาย,31-35 ปี,เอกชน,"มากกว่า 60,000 บาท",IOS,ปานกลาง,บ่อยครั้ง,ปานกลาง,ปานกลาง,Iphone,เพราะรู้สึกยุ่งยากในการย้ายข้อมูลส่วนตัว เเละ data ที่เก็บไว้ใน cloud
8/17/2024 15:09:15,หญิง,21-25 ปี,นักศึกษา,"น้อยกว่า 20,000 บาท",Android,น้อยที่สุด,บ่อยที่สุด,บ่อยครั้ง,ปานกลาง,Samsung,ฟังก์ชั่นใหม่น่าใช้ และคุ้นเคยที่สุด
8/17/2024 15:24:35,ชาย,26-30 ปี,เอกชน,"40,001-50,000 บาท",IOS,ค่อนข้างน้อย,บ่อยครั้ง,ปานกลาง,บ่อยที่สุด,Iphone,Ecosystem ดี
8/17/2024 15:50:27,ชาย,31-35 ปี,ข้าราชการ,"20,001-30,000 บาท",Android,ปานกลาง,ปานกลาง,ปานกลาง,ค่อนข้างน้อย,Samsung,ใช้ง่าย
